x y n
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
-9 0 500000
2 -7 500000
