x y n
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
11 -7 50000
-9 0 50000
-6 0 50000
-3 0 50000
-3 7 50000
-3 -7 50000
0 0 50000
0 7 50000
0 -7 50000
6 0 50000
11 0 50000
11 7 50000
