voxelID x y
1 7.5 0
2 9.13769 4.49951
3 9.13769 -4.49951
4 9.09863 4.45255
5 9.09863 -4.45255
6 9.05998 4.40524
7 9.05998 -4.40524
8 9.02174 4.3576
9 9.02174 -4.3576
10 8.98392 4.30963
11 8.98392 -4.30963
12 8.94653 4.26133
13 8.94653 -4.26133
14 8.90955 4.21271
15 8.90955 -4.21271
16 8.873 4.16376
17 8.873 -4.16376
18 8.83688 4.1145
19 8.83688 -4.1145
20 8.80119 4.06492
21 8.80119 -4.06492
22 8.76594 4.01504
23 8.76594 -4.01504
24 8.73112 3.96484
25 8.73112 -3.96484
26 8.69674 3.91435
27 8.69674 -3.91435
28 8.6628 3.86356
29 8.6628 -3.86356
30 8.62931 3.81247
31 8.62931 -3.81247
32 8.59626 3.7611
33 8.59626 -3.7611
34 8.56366 3.70943
35 8.56366 -3.70943
36 8.53152 3.65749
37 8.53152 -3.65749
38 8.49983 3.60527
39 8.49983 -3.60527
40 8.4686 3.55277
41 8.4686 -3.55277
42 8.43782 3.5
43 8.43782 -3.5
44 8.40751 3.44696
45 8.40751 -3.44696
46 8.37766 3.39367
47 8.37766 -3.39367
48 8.34828 3.34011
49 8.34828 -3.34011
50 8.31937 3.2863
51 8.31937 -3.2863
52 8.29092 3.23224
53 8.29092 -3.23224
54 8.26295 3.17793
55 8.26295 -3.17793
56 8.23546 3.12338
57 8.23546 -3.12338
58 8.20844 3.0686
59 8.20844 -3.0686
60 8.1819 3.01358
61 8.1819 -3.01358
62 8.15585 2.95833
63 8.15585 -2.95833
64 8.13027 2.90285
65 8.13027 -2.90285
66 8.10518 2.84716
67 8.10518 -2.84716
68 8.08058 2.79124
69 8.08058 -2.79124
70 8.05647 2.73512
71 8.05647 -2.73512
72 8.03284 2.67878
73 8.03284 -2.67878
74 8.00971 2.62225
75 8.00971 -2.62225
76 7.98708 2.56551
77 7.98708 -2.56551
78 7.96494 2.50858
79 7.96494 -2.50858
80 7.94329 2.45145
81 7.94329 -2.45145
82 7.92215 2.39414
83 7.92215 -2.39414
84 7.90151 2.33665
85 7.90151 -2.33665
86 7.88137 2.27898
87 7.88137 -2.27898
88 7.86173 2.22113
89 7.86173 -2.22113
90 7.8426 2.16312
91 7.8426 -2.16312
92 7.82398 2.10494
93 7.82398 -2.10494
94 7.80587 2.0466
95 7.80587 -2.0466
96 7.78826 1.98811
97 7.78826 -1.98811
98 7.77117 1.92946
99 7.77117 -1.92946
100 7.75459 1.87067
101 7.75459 -1.87067
102 7.73852 1.81173
103 7.73852 -1.81173
104 7.72297 1.75266
105 7.72297 -1.75266
106 7.70793 1.69345
107 7.70793 -1.69345
108 7.69341 1.63412
109 7.69341 -1.63412
110 7.67941 1.57466
111 7.67941 -1.57466
112 7.66593 1.51508
113 7.66593 -1.51508
114 7.65297 1.45538
115 7.65297 -1.45538
116 7.64053 1.39558
117 7.64053 -1.39558
118 7.62861 1.33566
119 7.62861 -1.33566
120 7.61722 1.27565
121 7.61722 -1.27565
122 7.60635 1.21554
123 7.60635 -1.21554
124 7.596 1.15533
125 7.596 -1.15533
126 7.58618 1.09504
127 7.58618 -1.09504
128 7.57689 1.03467
129 7.57689 -1.03467
130 7.56812 0.974212
131 7.56812 -0.974212
132 7.55989 0.913683
133 7.55989 -0.913683
134 7.55218 0.853085
135 7.55218 -0.853085
136 7.545 0.792422
137 7.545 -0.792422
138 7.53835 0.731699
139 7.53835 -0.731699
140 7.53223 0.67092
141 7.53223 -0.67092
142 7.52664 0.61009
143 7.52664 -0.61009
144 7.52158 0.549214
145 7.52158 -0.549214
146 7.51705 0.488295
147 7.51705 -0.488295
148 7.51306 0.42734
149 7.51306 -0.42734
150 7.50959 0.366352
151 7.50959 -0.366352
152 7.50666 0.305336
153 7.50666 -0.305336
154 7.50426 0.244296
155 7.50426 -0.244296
156 7.5024 0.183239
157 7.5024 -0.183239
158 7.50107 0.122167
159 7.50107 -0.122167
160 7.50027 0.0610857
161 7.50027 -0.0610857
