voxelID mppcID probability
1 1 0.0004992
1 2 0.00054
1 3 0.0004744
1 4 0.0005032
1 5 0.0005224
1 6 0.0005216
1 7 0.0004888
1 8 0.0004904
1 9 0.0004976
1 10 0.0004968
1 11 0.0004712
1 12 0.0004864
1 13 0.0004904
1 14 0.0005072
1 15 0.0004872
1 16 0.0004768
1 17 0.0005072
1 18 0.0004936
1 19 0.0004624
1 20 0.0005104
1 21 0.0004832
1 22 0.0005216
1 23 0.0004608
1 24 0.0005136
1 25 0.00048
1 26 0.0004736
1 27 0.000528
1 28 0.0005048
1 29 0.0004864
1 30 0.000524
1 31 0.0005032
1 32 0.0005264
1 33 0.0004688
1 34 0.0005192
1 35 0.0005016
1 36 0.0005048
1 37 0.0004952
1 38 0.0004896
1 39 0.0004936
1 40 0.0005064
1 41 0.0005128
1 42 0.0005
1 43 0.000468
1 44 0.0005248
1 45 0.000512
1 46 0.0004888
1 47 0.00046
1 48 0.0005288
1 49 0.0005208
1 50 0.0005416
1 51 0.0005248
1 52 0.0004832
1 53 0.0005248
1 54 0.0005136
1 55 0.000508
1 56 0.0005208
1 57 0.0004776
1 58 0.000492
1 59 0.0004752
1 60 0.0004976
1 61 0.000508
1 62 0.0004832
1 63 0.0005152
1 64 0.0005128
1 65 0.0004872
1 66 0.000496
1 67 0.0005088
1 68 0.0004896
1 69 0.0004952
1 70 0.0005248
1 71 0.0005032
1 72 0.0005032
1 73 0.0005168
1 74 0.0004952
1 75 0.0004992
1 76 0.0004968
1 77 0.0005488
1 78 0.000512
1 79 0.000552
1 80 0.0004664
1 81 0.0005048
1 82 0.0004848
1 83 0.0005144
1 84 0.0004888
1 85 0.0005008
1 86 0.0004704
1 87 0.0004704
1 88 0.000524
1 89 0.0004968
1 90 0.0004712
1 91 0.000508
1 92 0.0005328
1 93 0.0004928
1 94 0.0004992
1 95 0.0005192
1 96 0.0005208
1 97 0.0004992
1 98 0.0005208
1 99 0.0004768
1 100 0.0004952
1 101 0.0004744
1 102 0.0005248
1 103 0.0004648
1 104 0.0005272
1 105 0.0004792
1 106 0.0005632
1 107 0.0004848
1 108 0.0005
1 109 0.0005064
1 110 0.000492
1 111 0.0005016
1 112 0.0004976
1 113 0.0005336
1 114 0.0005136
1 115 0.0005
1 116 0.0004992
1 117 0.0005288
1 118 0.00048
1 119 0.0004992
1 120 0.000504
1 121 0.0004888
1 122 0.0005144
1 123 0.0005048
1 124 0.0004744
1 125 0.0005024
1 126 0.0005008
1 127 0.0004936
1 128 0.00048
2 1 0.0005784
2 2 0.0005472
2 3 0.0004936
2 4 0.0005552
2 5 0.0005448
2 6 0.0005464
2 7 0.0005552
2 8 0.0005304
2 9 0.0005168
2 10 0.000532
2 11 0.00054
2 12 0.00054
2 13 0.0005456
2 14 0.0005688
2 15 0.0005328
2 16 0.000544
2 17 0.0005504
2 18 0.0005184
2 19 0.0005176
2 20 0.0005232
2 21 0.0005664
2 22 0.000476
2 23 0.0005496
2 24 0.000528
2 25 0.0004992
2 26 0.000512
2 27 0.000512
2 28 0.0004976
2 29 0.00048
2 30 0.0005048
2 31 0.0005056
2 32 0.0005008
2 33 0.0004632
2 34 0.0004872
2 35 0.0004952
2 36 0.000476
2 37 0.0005184
2 38 0.0005272
2 39 0.0005136
2 40 0.0004776
2 41 0.0004488
2 42 0.0005136
2 43 0.0004912
2 44 0.0004696
2 45 0.0005
2 46 0.0005056
2 47 0.0004784
2 48 0.0004632
2 49 0.0004632
2 50 0.000444
2 51 0.00046
2 52 0.0004736
2 53 0.0004888
2 54 0.0004472
2 55 0.0004584
2 56 0.0004608
2 57 0.0004752
2 58 0.0004472
2 59 0.0004768
2 60 0.0004424
2 61 0.0005088
2 62 0.0004768
2 63 0.0004952
2 64 0.0004528
2 65 0.0004832
2 66 0.0004432
2 67 0.0004992
2 68 0.0004512
2 69 0.0004688
2 70 0.0004584
2 71 0.0004448
2 72 0.0004408
2 73 0.0004712
2 74 0.0004792
2 75 0.0004568
2 76 0.0005184
2 77 0.0004432
2 78 0.0005112
2 79 0.0004528
2 80 0.0005104
2 81 0.0004632
2 82 0.0004688
2 83 0.0004792
2 84 0.0004928
2 85 0.0004696
2 86 0.0004576
2 87 0.0004624
2 88 0.0004896
2 89 0.0004784
2 90 0.000484
2 91 0.0004576
2 92 0.0004744
2 93 0.0005184
2 94 0.0004872
2 95 0.000536
2 96 0.0004776
2 97 0.0005064
2 98 0.0005064
2 99 0.000484
2 100 0.0004912
2 101 0.0005208
2 102 0.0004816
2 103 0.0005216
2 104 0.0004904
2 105 0.0004784
2 106 0.0004824
2 107 0.000508
2 108 0.0005272
2 109 0.0004928
2 110 0.000536
2 111 0.0005112
2 112 0.000512
2 113 0.0005288
2 114 0.0005344
