pixelID x y
1 0 0
2 0.5 0
3 1 0
4 1.5 0
5 2 0
6 2.5 0
7 3 0
8 3.5 0
9 4 0
10 4.5 0
11 5 0
12 5.5 0
13 6 0
14 6.5 0
15 7 0
16 7.5 0
17 8 0
18 8.5 0
19 9 0
20 9.5 0
21 10 0
22 10.5 0
23 11 0
24 11.5 0
25 12 0
26 12.5 0
27 13 0
28 13.5 0
29 14 0
30 -0.5 0
31 -1 0
32 -1.5 0
33 -2 0
34 -2.5 0
35 -3 0
36 -3.5 0
37 -4 0
38 -4.5 0
39 -5 0
40 -5.5 0
41 -6 0
42 -6.5 0
43 -7 0
44 -7.5 0
45 -8 0
46 -8.5 0
47 -9 0
48 -9.5 0
49 -10 0
50 -10.5 0
51 -11 0
52 -11.5 0
53 -12 0
54 -12.5 0
55 -13 0
56 -13.5 0
57 -14 0
58 0 0.5
59 0.5 0.5
60 1 0.5
61 1.5 0.5
62 2 0.5
63 2.5 0.5
64 3 0.5
65 3.5 0.5
66 4 0.5
67 4.5 0.5
68 5 0.5
69 5.5 0.5
70 6 0.5
71 6.5 0.5
72 7 0.5
73 7.5 0.5
74 8 0.5
75 8.5 0.5
76 9 0.5
77 9.5 0.5
78 10 0.5
79 10.5 0.5
80 11 0.5
81 11.5 0.5
82 12 0.5
83 12.5 0.5
84 13 0.5
85 13.5 0.5
86 14 0.5
87 -0.5 0.5
88 -1 0.5
89 -1.5 0.5
90 -2 0.5
91 -2.5 0.5
92 -3 0.5
93 -3.5 0.5
94 -4 0.5
95 -4.5 0.5
96 -5 0.5
97 -5.5 0.5
98 -6 0.5
99 -6.5 0.5
100 -7 0.5
101 -7.5 0.5
102 -8 0.5
103 -8.5 0.5
104 -9 0.5
105 -9.5 0.5
106 -10 0.5
107 -10.5 0.5
108 -11 0.5
109 -11.5 0.5
110 -12 0.5
111 -12.5 0.5
112 -13 0.5
113 -13.5 0.5
114 -14 0.5
115 0 1
116 0.5 1
117 1 1
118 1.5 1
119 2 1
120 2.5 1
121 3 1
122 3.5 1
123 4 1
124 4.5 1
125 5 1
126 5.5 1
127 6 1
128 6.5 1
129 7 1
130 7.5 1
131 8 1
132 8.5 1
133 9 1
134 9.5 1
135 10 1
136 10.5 1
137 11 1
138 11.5 1
139 12 1
140 12.5 1
141 13 1
142 13.5 1
143 14 1
144 -0.5 1
145 -1 1
146 -1.5 1
147 -2 1
148 -2.5 1
149 -3 1
150 -3.5 1
151 -4 1
152 -4.5 1
153 -5 1
154 -5.5 1
155 -6 1
156 -6.5 1
157 -7 1
158 -7.5 1
159 -8 1
160 -8.5 1
161 -9 1
162 -9.5 1
163 -10 1
164 -10.5 1
165 -11 1
166 -11.5 1
167 -12 1
168 -12.5 1
169 -13 1
170 -13.5 1
171 -14 1
172 0 1.5
173 0.5 1.5
174 1 1.5
175 1.5 1.5
176 2 1.5
177 2.5 1.5
178 3 1.5
179 3.5 1.5
180 4 1.5
181 4.5 1.5
182 5 1.5
183 5.5 1.5
184 6 1.5
185 6.5 1.5
186 7 1.5
187 7.5 1.5
188 8 1.5
189 8.5 1.5
190 9 1.5
191 9.5 1.5
192 10 1.5
193 10.5 1.5
194 11 1.5
195 11.5 1.5
196 12 1.5
197 12.5 1.5
198 13 1.5
199 13.5 1.5
200 14 1.5
201 -0.5 1.5
202 -1 1.5
203 -1.5 1.5
204 -2 1.5
205 -2.5 1.5
206 -3 1.5
207 -3.5 1.5
208 -4 1.5
209 -4.5 1.5
210 -5 1.5
211 -5.5 1.5
212 -6 1.5
213 -6.5 1.5
214 -7 1.5
215 -7.5 1.5
216 -8 1.5
217 -8.5 1.5
218 -9 1.5
219 -9.5 1.5
220 -10 1.5
221 -10.5 1.5
222 -11 1.5
223 -11.5 1.5
224 -12 1.5
225 -12.5 1.5
226 -13 1.5
227 -13.5 1.5
228 -14 1.5
229 0 2
230 0.5 2
231 1 2
232 1.5 2
233 2 2
234 2.5 2
235 3 2
236 3.5 2
237 4 2
238 4.5 2
239 5 2
240 5.5 2
241 6 2
242 6.5 2
243 7 2
244 7.5 2
245 8 2
246 8.5 2
247 9 2
248 9.5 2
249 10 2
250 10.5 2
251 11 2
252 11.5 2
253 12 2
254 12.5 2
255 13 2
256 13.5 2
257 14 2
258 -0.5 2
259 -1 2
260 -1.5 2
261 -2 2
262 -2.5 2
263 -3 2
264 -3.5 2
265 -4 2
266 -4.5 2
267 -5 2
268 -5.5 2
269 -6 2
270 -6.5 2
271 -7 2
272 -7.5 2
273 -8 2
274 -8.5 2
275 -9 2
276 -9.5 2
277 -10 2
278 -10.5 2
279 -11 2
280 -11.5 2
281 -12 2
282 -12.5 2
283 -13 2
284 -13.5 2
285 -14 2
286 0 2.5
287 0.5 2.5
288 1 2.5
289 1.5 2.5
290 2 2.5
291 2.5 2.5
292 3 2.5
293 3.5 2.5
294 4 2.5
295 4.5 2.5
296 5 2.5
297 5.5 2.5
298 6 2.5
299 6.5 2.5
300 7 2.5
301 7.5 2.5
302 8 2.5
303 8.5 2.5
304 9 2.5
305 9.5 2.5
306 10 2.5
307 10.5 2.5
308 11 2.5
309 11.5 2.5
310 12 2.5
311 12.5 2.5
312 13 2.5
313 13.5 2.5
314 14 2.5
315 -0.5 2.5
316 -1 2.5
317 -1.5 2.5
318 -2 2.5
319 -2.5 2.5
320 -3 2.5
321 -3.5 2.5
322 -4 2.5
323 -4.5 2.5
324 -5 2.5
325 -5.5 2.5
326 -6 2.5
327 -6.5 2.5
328 -7 2.5
329 -7.5 2.5
330 -8 2.5
331 -8.5 2.5
332 -9 2.5
333 -9.5 2.5
334 -10 2.5
335 -10.5 2.5
336 -11 2.5
337 -11.5 2.5
338 -12 2.5
339 -12.5 2.5
340 -13 2.5
341 -13.5 2.5
342 -14 2.5
343 0 3
344 0.5 3
345 1 3
346 1.5 3
347 2 3
348 2.5 3
349 3 3
350 3.5 3
351 4 3
352 4.5 3
353 5 3
354 5.5 3
355 6 3
356 6.5 3
357 7 3
358 7.5 3
359 8 3
360 8.5 3
361 9 3
362 9.5 3
363 10 3
364 10.5 3
365 11 3
366 11.5 3
367 12 3
368 12.5 3
369 13 3
370 13.5 3
371 14 3
372 -0.5 3
373 -1 3
374 -1.5 3
375 -2 3
376 -2.5 3
377 -3 3
378 -3.5 3
379 -4 3
380 -4.5 3
381 -5 3
382 -5.5 3
383 -6 3
384 -6.5 3
385 -7 3
386 -7.5 3
387 -8 3
388 -8.5 3
389 -9 3
390 -9.5 3
391 -10 3
392 -10.5 3
393 -11 3
394 -11.5 3
395 -12 3
396 -12.5 3
397 -13 3
398 -13.5 3
399 -14 3
400 0 3.5
401 0.5 3.5
402 1 3.5
403 1.5 3.5
404 2 3.5
405 2.5 3.5
406 3 3.5
407 3.5 3.5
408 4 3.5
409 4.5 3.5
410 5 3.5
411 5.5 3.5
412 6 3.5
413 6.5 3.5
414 7 3.5
415 7.5 3.5
416 8 3.5
417 8.5 3.5
418 9 3.5
419 9.5 3.5
420 10 3.5
421 10.5 3.5
422 11 3.5
423 11.5 3.5
424 12 3.5
425 12.5 3.5
426 13 3.5
427 13.5 3.5
428 14 3.5
429 -0.5 3.5
430 -1 3.5
431 -1.5 3.5
432 -2 3.5
433 -2.5 3.5
434 -3 3.5
435 -3.5 3.5
436 -4 3.5
437 -4.5 3.5
438 -5 3.5
439 -5.5 3.5
440 -6 3.5
441 -6.5 3.5
442 -7 3.5
443 -7.5 3.5
444 -8 3.5
445 -8.5 3.5
446 -9 3.5
447 -9.5 3.5
448 -10 3.5
449 -10.5 3.5
450 -11 3.5
451 -11.5 3.5
452 -12 3.5
453 -12.5 3.5
454 -13 3.5
455 -13.5 3.5
456 -14 3.5
457 0 4
458 0.5 4
459 1 4
460 1.5 4
461 2 4
462 2.5 4
463 3 4
464 3.5 4
465 4 4
466 4.5 4
467 5 4
468 5.5 4
469 6 4
470 6.5 4
471 7 4
472 7.5 4
473 8 4
474 8.5 4
475 9 4
476 9.5 4
477 10 4
478 10.5 4
479 11 4
480 11.5 4
481 12 4
482 12.5 4
483 13 4
484 13.5 4
485 -0.5 4
486 -1 4
487 -1.5 4
488 -2 4
489 -2.5 4
490 -3 4
491 -3.5 4
492 -4 4
493 -4.5 4
494 -5 4
495 -5.5 4
496 -6 4
497 -6.5 4
498 -7 4
499 -7.5 4
500 -8 4
501 -8.5 4
502 -9 4
503 -9.5 4
504 -10 4
505 -10.5 4
506 -11 4
507 -11.5 4
508 -12 4
509 -12.5 4
510 -13 4
511 -13.5 4
512 0 4.5
513 0.5 4.5
514 1 4.5
515 1.5 4.5
516 2 4.5
517 2.5 4.5
518 3 4.5
519 3.5 4.5
520 4 4.5
521 4.5 4.5
522 5 4.5
523 5.5 4.5
524 6 4.5
525 6.5 4.5
526 7 4.5
527 7.5 4.5
528 8 4.5
529 8.5 4.5
530 9 4.5
531 9.5 4.5
532 10 4.5
533 10.5 4.5
534 11 4.5
535 11.5 4.5
536 12 4.5
537 12.5 4.5
538 13 4.5
539 13.5 4.5
540 -0.5 4.5
541 -1 4.5
542 -1.5 4.5
543 -2 4.5
544 -2.5 4.5
545 -3 4.5
546 -3.5 4.5
547 -4 4.5
548 -4.5 4.5
549 -5 4.5
550 -5.5 4.5
551 -6 4.5
552 -6.5 4.5
553 -7 4.5
554 -7.5 4.5
555 -8 4.5
556 -8.5 4.5
557 -9 4.5
558 -9.5 4.5
559 -10 4.5
560 -10.5 4.5
561 -11 4.5
562 -11.5 4.5
563 -12 4.5
564 -12.5 4.5
565 -13 4.5
566 -13.5 4.5
567 0 5
568 0.5 5
569 1 5
570 1.5 5
571 2 5
572 2.5 5
573 3 5
574 3.5 5
575 4 5
576 4.5 5
577 5 5
578 5.5 5
579 6 5
580 6.5 5
581 7 5
582 7.5 5
583 8 5
584 8.5 5
585 9 5
586 9.5 5
587 10 5
588 10.5 5
589 11 5
590 11.5 5
591 12 5
592 12.5 5
593 13 5
594 13.5 5
595 -0.5 5
596 -1 5
597 -1.5 5
598 -2 5
599 -2.5 5
600 -3 5
601 -3.5 5
602 -4 5
603 -4.5 5
604 -5 5
605 -5.5 5
606 -6 5
607 -6.5 5
608 -7 5
609 -7.5 5
610 -8 5
611 -8.5 5
612 -9 5
613 -9.5 5
614 -10 5
615 -10.5 5
616 -11 5
617 -11.5 5
618 -12 5
619 -12.5 5
620 -13 5
621 -13.5 5
622 0 5.5
623 0.5 5.5
624 1 5.5
625 1.5 5.5
626 2 5.5
627 2.5 5.5
628 3 5.5
629 3.5 5.5
630 4 5.5
631 4.5 5.5
632 5 5.5
633 5.5 5.5
634 6 5.5
635 6.5 5.5
636 7 5.5
637 7.5 5.5
638 8 5.5
639 8.5 5.5
640 9 5.5
641 9.5 5.5
642 10 5.5
643 10.5 5.5
644 11 5.5
645 11.5 5.5
646 12 5.5
647 12.5 5.5
648 13 5.5
649 -0.5 5.5
650 -1 5.5
651 -1.5 5.5
652 -2 5.5
653 -2.5 5.5
654 -3 5.5
655 -3.5 5.5
656 -4 5.5
657 -4.5 5.5
658 -5 5.5
659 -5.5 5.5
660 -6 5.5
661 -6.5 5.5
662 -7 5.5
663 -7.5 5.5
664 -8 5.5
665 -8.5 5.5
666 -9 5.5
667 -9.5 5.5
668 -10 5.5
669 -10.5 5.5
670 -11 5.5
671 -11.5 5.5
672 -12 5.5
673 -12.5 5.5
674 -13 5.5
675 0 6
676 0.5 6
677 1 6
678 1.5 6
679 2 6
680 2.5 6
681 3 6
682 3.5 6
683 4 6
684 4.5 6
685 5 6
686 5.5 6
687 6 6
688 6.5 6
689 7 6
690 7.5 6
691 8 6
692 8.5 6
693 9 6
694 9.5 6
695 10 6
696 10.5 6
697 11 6
698 11.5 6
699 12 6
700 12.5 6
701 13 6
702 -0.5 6
703 -1 6
704 -1.5 6
705 -2 6
706 -2.5 6
707 -3 6
708 -3.5 6
709 -4 6
710 -4.5 6
711 -5 6
712 -5.5 6
713 -6 6
714 -6.5 6
715 -7 6
716 -7.5 6
717 -8 6
718 -8.5 6
719 -9 6
720 -9.5 6
721 -10 6
722 -10.5 6
723 -11 6
724 -11.5 6
725 -12 6
726 -12.5 6
727 -13 6
728 0 6.5
729 0.5 6.5
730 1 6.5
731 1.5 6.5
732 2 6.5
733 2.5 6.5
734 3 6.5
735 3.5 6.5
736 4 6.5
737 4.5 6.5
738 5 6.5
739 5.5 6.5
740 6 6.5
741 6.5 6.5
742 7 6.5
743 7.5 6.5
744 8 6.5
745 8.5 6.5
746 9 6.5
747 9.5 6.5
748 10 6.5
749 10.5 6.5
750 11 6.5
751 11.5 6.5
752 12 6.5
753 12.5 6.5
754 -0.5 6.5
755 -1 6.5
756 -1.5 6.5
757 -2 6.5
758 -2.5 6.5
759 -3 6.5
760 -3.5 6.5
761 -4 6.5
762 -4.5 6.5
763 -5 6.5
764 -5.5 6.5
765 -6 6.5
766 -6.5 6.5
767 -7 6.5
768 -7.5 6.5
769 -8 6.5
770 -8.5 6.5
771 -9 6.5
772 -9.5 6.5
773 -10 6.5
774 -10.5 6.5
775 -11 6.5
776 -11.5 6.5
777 -12 6.5
778 -12.5 6.5
779 0 7
780 0.5 7
781 1 7
782 1.5 7
783 2 7
784 2.5 7
785 3 7
786 3.5 7
787 4 7
788 4.5 7
789 5 7
790 5.5 7
791 6 7
792 6.5 7
793 7 7
794 7.5 7
795 8 7
796 8.5 7
797 9 7
798 9.5 7
799 10 7
800 10.5 7
801 11 7
802 11.5 7
803 12 7
804 12.5 7
805 -0.5 7
806 -1 7
807 -1.5 7
808 -2 7
809 -2.5 7
810 -3 7
811 -3.5 7
812 -4 7
813 -4.5 7
814 -5 7
815 -5.5 7
816 -6 7
817 -6.5 7
818 -7 7
819 -7.5 7
820 -8 7
821 -8.5 7
822 -9 7
823 -9.5 7
824 -10 7
825 -10.5 7
826 -11 7
827 -11.5 7
828 -12 7
829 -12.5 7
830 0 7.5
831 0.5 7.5
832 1 7.5
833 1.5 7.5
834 2 7.5
835 2.5 7.5
836 3 7.5
837 3.5 7.5
838 4 7.5
839 4.5 7.5
840 5 7.5
841 5.5 7.5
842 6 7.5
843 6.5 7.5
844 7 7.5
845 7.5 7.5
846 8 7.5
847 8.5 7.5
848 9 7.5
849 9.5 7.5
850 10 7.5
851 10.5 7.5
852 11 7.5
853 11.5 7.5
854 12 7.5
855 -0.5 7.5
856 -1 7.5
857 -1.5 7.5
858 -2 7.5
859 -2.5 7.5
860 -3 7.5
861 -3.5 7.5
862 -4 7.5
863 -4.5 7.5
864 -5 7.5
865 -5.5 7.5
866 -6 7.5
867 -6.5 7.5
868 -7 7.5
869 -7.5 7.5
870 -8 7.5
871 -8.5 7.5
872 -9 7.5
873 -9.5 7.5
874 -10 7.5
875 -10.5 7.5
876 -11 7.5
877 -11.5 7.5
878 -12 7.5
879 0 8
880 0.5 8
881 1 8
882 1.5 8
883 2 8
884 2.5 8
885 3 8
886 3.5 8
887 4 8
888 4.5 8
889 5 8
890 5.5 8
891 6 8
892 6.5 8
893 7 8
894 7.5 8
895 8 8
896 8.5 8
897 9 8
898 9.5 8
899 10 8
900 10.5 8
901 11 8
902 11.5 8
903 12 8
904 -0.5 8
905 -1 8
906 -1.5 8
907 -2 8
908 -2.5 8
909 -3 8
910 -3.5 8
911 -4 8
912 -4.5 8
913 -5 8
914 -5.5 8
915 -6 8
916 -6.5 8
917 -7 8
918 -7.5 8
919 -8 8
920 -8.5 8
921 -9 8
922 -9.5 8
923 -10 8
924 -10.5 8
925 -11 8
926 -11.5 8
927 -12 8
928 0 8.5
929 0.5 8.5
930 1 8.5
931 1.5 8.5
932 2 8.5
933 2.5 8.5
934 3 8.5
935 3.5 8.5
936 4 8.5
937 4.5 8.5
938 5 8.5
939 5.5 8.5
940 6 8.5
941 6.5 8.5
942 7 8.5
943 7.5 8.5
944 8 8.5
945 8.5 8.5
946 9 8.5
947 9.5 8.5
948 10 8.5
949 10.5 8.5
950 11 8.5
951 11.5 8.5
952 -0.5 8.5
953 -1 8.5
954 -1.5 8.5
955 -2 8.5
956 -2.5 8.5
957 -3 8.5
958 -3.5 8.5
959 -4 8.5
960 -4.5 8.5
961 -5 8.5
962 -5.5 8.5
963 -6 8.5
964 -6.5 8.5
965 -7 8.5
966 -7.5 8.5
967 -8 8.5
968 -8.5 8.5
969 -9 8.5
970 -9.5 8.5
971 -10 8.5
972 -10.5 8.5
973 -11 8.5
974 -11.5 8.5
975 0 9
976 0.5 9
977 1 9
978 1.5 9
979 2 9
980 2.5 9
981 3 9
982 3.5 9
983 4 9
984 4.5 9
985 5 9
986 5.5 9
987 6 9
988 6.5 9
989 7 9
990 7.5 9
991 8 9
992 8.5 9
993 9 9
994 9.5 9
995 10 9
996 10.5 9
997 11 9
998 -0.5 9
999 -1 9
1000 -1.5 9
1001 -2 9
1002 -2.5 9
1003 -3 9
1004 -3.5 9
1005 -4 9
1006 -4.5 9
1007 -5 9
1008 -5.5 9
1009 -6 9
1010 -6.5 9
1011 -7 9
1012 -7.5 9
1013 -8 9
1014 -8.5 9
1015 -9 9
1016 -9.5 9
1017 -10 9
1018 -10.5 9
1019 -11 9
1020 0 9.5
