pixelID mppcID probability
1 1 0.0004992
1 2 0.0004976
1 3 0.0005072
1 4 0.00048
1 5 0.0004688
1 6 0.0005128
1 7 0.0005208
1 8 0.0004776
1 9 0.0004872
1 10 0.0005168
1 11 0.0005048
1 12 0.0004968
1 13 0.0004992
1 14 0.0004792
1 15 0.0005336
1 16 0.0004888
2 1 0.0005784
2 2 0.0005168
2 3 0.0005504
2 4 0.0004992
2 5 0.0004632
2 6 0.0004488
2 7 0.0004632
2 8 0.0004752
2 9 0.0004832
2 10 0.0004712
2 11 0.0004632
2 12 0.0004784
2 13 0.0005064
2 14 0.0004784
2 15 0.0005288
2 16 0.0005472
3 1 0.0006216
3 2 0.0005672
3 3 0.000528
3 4 0.0005456
3 5 0.0004944
3 6 0.0004816
3 7 0.0004696
3 8 0.0004472
3 9 0.000412
3 10 0.00044
3 11 0.0004592
3 12 0.0004512
3 13 0.0005024
3 14 0.000504
3 15 0.0005456
3 16 0.0005568
4 1 0.0006976
4 2 0.0006336
4 3 0.0006168
4 4 0.0005176
4 5 0.000476
4 6 0.0004616
4 7 0.0004616
4 8 0.0004496
4 9 0.0004448
4 10 0.000408
4 11 0.000388
4 12 0.0004424
4 13 0.0005016
4 14 0.0005272
4 15 0.0005904
4 16 0.0006408
5 1 0.0007464
5 2 0.0006944
5 3 0.0006008
5 4 0.0005352
5 5 0.0004544
5 6 0.0004264
5 7 0.0004256
5 8 0.0003792
5 9 0.0003896
5 10 0.0003936
5 11 0.000388
5 12 0.000408
5 13 0.0004552
5 14 0.0005304
5 15 0.0006296
5 16 0.0006808
6 1 0.000832
6 2 0.0007488
6 3 0.0005896
6 4 0.0005264
6 5 0.000468
6 6 0.0004
6 7 0.0003712
6 8 0.0003688
6 9 0.0003704
6 10 0.0004344
6 11 0.000412
6 12 0.0004208
6 13 0.0004488
6 14 0.000512
6 15 0.000624
6 16 0.0007784
7 1 0.0009096
7 2 0.0008392
7 3 0.0006248
7 4 0.0005016
7 5 0.0004392
7 6 0.0004024
7 7 0.0003744
7 8 0.0003952
7 9 0.00042
7 10 0.000408
7 11 0.0003904
7 12 0.0004072
7 13 0.0004336
7 14 0.0004888
7 15 0.000612
7 16 0.0007992
8 1 0.0011368
8 2 0.000932
8 3 0.000656
8 4 0.000456
8 5 0.000424
8 6 0.0003752
8 7 0.0003944
8 8 0.000372
8 9 0.000408
8 10 0.0003968
8 11 0.0003872
8 12 0.0003808
8 13 0.0004184
8 14 0.0004872
8 15 0.0006232
8 16 0.000872
9 1 0.0012936
9 2 0.0009944
9 3 0.0006176
9 4 0.0004888
9 5 0.0004008
9 6 0.0004032
9 7 0.000408
9 8 0.00044
9 9 0.0003704
9 10 0.0003888
9 11 0.0004224
9 12 0.0003888
9 13 0.0003888
9 14 0.0005064
9 15 0.0006672
9 16 0.001004
10 1 0.0015864
10 2 0.0011424
10 3 0.0006032
10 4 0.0004456
10 5 0.00044
10 6 0.0004768
10 7 0.0005312
10 8 0.000528
10 9 0.0004408
10 10 0.0004872
10 11 0.0004984
10 12 0.0004664
10 13 0.0004424
10 14 0.0005016
10 15 0.0006128
10 16 0.0010896
11 1 0.0019984
11 2 0.0011496
11 3 0.0006616
11 4 0.0004816
11 5 0.000468
11 6 0.0006272
11 7 0.00062
11 8 0.0006536
11 9 0.0006088
11 10 0.0006024
11 11 0.000656
11 12 0.0006144
11 13 0.0005384
11 14 0.0005256
11 15 0.000612
11 16 0.0011632
12 1 0.0028584
12 2 0.0011488
12 3 0.0006448
12 4 0.0005208
12 5 0.00064
12 6 0.000756
12 7 0.0007456
12 8 0.0007424
12 9 0.0006992
12 10 0.000796
12 11 0.000732
12 12 0.0007696
12 13 0.0006744
12 14 0.0005496
12 15 0.0006104
12 16 0.0011504
13 1 0.0040512
13 2 0.0010048
13 3 0.0006552
13 4 0.0006728
13 5 0.0008664
13 6 0.0009232
13 7 0.0008848
13 8 0.0008616
13 9 0.0008672
13 10 0.0008816
13 11 0.0008816
13 12 0.0009208
13 13 0.0008376
13 14 0.000648
13 15 0.0006264
13 16 0.0010184
14 1 0.0070656
14 2 0.0008928
14 3 0.0006952
14 4 0.000852
14 5 0.0010176
14 6 0.0009784
14 7 0.000892
14 8 0.0009312
14 9 0.0010488
14 10 0.0009304
14 11 0.000932
14 12 0.0010088
14 13 0.0010416
14 14 0.0008808
14 15 0.0007448
14 16 0.000936
15 1 0.0178088
15 2 0.0008864
15 3 0.001036
15 4 0.0011248
15 5 0.0010424
15 6 0.0010392
15 7 0.001
15 8 0.0009712
15 9 0.0010336
15 10 0.0010416
15 11 0.0009856
15 12 0.0010544
15 13 0.001116
15 14 0.0011272
15 15 0.0010072
15 16 0.0009152
16 1 0.00048
16 2 0.000516
16 3 0.0004712
16 4 0.0005032
16 5 0.0004784
16 6 0.000488
16 7 0.0005184
16 8 0.00054
16 9 0.0005152
16 10 0.0005488
16 11 0.000528
16 12 0.0005176
16 13 0.0004688
16 14 0.0004832
16 15 0.0004416
16 16 0.0004704
17 1 0.0004288
17 2 0.000452
17 3 0.0004256
17 4 0.000416
17 5 0.0005328
17 6 0.0004896
17 7 0.00052
17 8 0.0006096
17 9 0.0005936
17 10 0.0005952
17 11 0.00056
17 12 0.0005216
17 13 0.0004768
17 14 0.0004632
17 15 0.00046
17 16 0.0004504
18 1 0.000432
18 2 0.0004256
18 3 0.0003968
18 4 0.0004464
18 5 0.0005048
18 6 0.0005424
18 7 0.0006064
18 8 0.0006328
18 9 0.0006472
18 10 0.000664
18 11 0.0005864
18 12 0.0005432
18 13 0.0004888
18 14 0.0004272
18 15 0.0004024
18 16 0.000412
19 1 0.000408
19 2 0.0004144
19 3 0.0004088
19 4 0.000436
19 5 0.0004528
19 6 0.0005264
19 7 0.0006176
19 8 0.0006968
19 9 0.0007016
19 10 0.0006672
19 11 0.0006256
19 12 0.000532
19 13 0.0004696
19 14 0.0003856
19 15 0.0003792
19 16 0.0003816
20 1 0.0004056
20 2 0.000412
20 3 0.0003872
20 4 0.0004136
20 5 0.0004504
20 6 0.000492
20 7 0.0006168
20 8 0.0007072
20 9 0.0008528
20 10 0.0007776
20 11 0.00064
20 12 0.0005232
20 13 0.0004432
20 14 0.0003576
20 15 0.000376
