pixelID x y
1 0 0
2 1.0 0
3 2.0 0
4 3.0 0
5 4.0 0
6 5.0 0
7 6.0 0
8 7.0 0
9 8.0 0
10 9.0 0
11 10.0 0
12 11.0 0
13 12.0 0
14 13.0 0
15 14.0 0
16 -1.0 0
17 -2.0 0
18 -3.0 0
19 -4.0 0
20 -5.0 0
21 -6.0 0
22 -7.0 0
23 -8.0 0
24 -9.0 0
25 -10.0 0
26 -11.0 0
27 -12.0 0
28 -13.0 0
29 -14.0 0
30 0 1.0
31 1.0 1.0
32 2.0 1.0
33 3.0 1.0
34 4.0 1.0
35 5.0 1.0
36 6.0 1.0
37 7.0 1.0
38 8.0 1.0
39 9.0 1.0
40 10.0 1.0
41 11.0 1.0
42 12.0 1.0
43 13.0 1.0
44 14.0 1.0
45 -1.0 1.0
46 -2.0 1.0
47 -3.0 1.0
48 -4.0 1.0
49 -5.0 1.0
50 -6.0 1.0
51 -7.0 1.0
52 -8.0 1.0
53 -9.0 1.0
54 -10.0 1.0
55 -11.0 1.0
56 -12.0 1.0
57 -13.0 1.0
58 -14.0 1.0
59 0 2.0
60 1.0 2.0
61 2.0 2.0
62 3.0 2.0
63 4.0 2.0
64 5.0 2.0
65 6.0 2.0
66 7.0 2.0
67 8.0 2.0
68 9.0 2.0
69 10.0 2.0
70 11.0 2.0
71 12.0 2.0
72 13.0 2.0
73 14.0 2.0
74 -1.0 2.0
75 -2.0 2.0
76 -3.0 2.0
77 -4.0 2.0
78 -5.0 2.0
79 -6.0 2.0
80 -7.0 2.0
81 -8.0 2.0
82 -9.0 2.0
83 -10.0 2.0
84 -11.0 2.0
85 -12.0 2.0
86 -13.0 2.0
87 -14.0 2.0
88 0 3.0
89 1.0 3.0
90 2.0 3.0
91 3.0 3.0
92 4.0 3.0
93 5.0 3.0
94 6.0 3.0
95 7.0 3.0
96 8.0 3.0
97 9.0 3.0
98 10.0 3.0
99 11.0 3.0
100 12.0 3.0
101 13.0 3.0
102 14.0 3.0
103 -1.0 3.0
104 -2.0 3.0
105 -3.0 3.0
106 -4.0 3.0
107 -5.0 3.0
108 -6.0 3.0
109 -7.0 3.0
110 -8.0 3.0
111 -9.0 3.0
112 -10.0 3.0
113 -11.0 3.0
114 -12.0 3.0
115 -13.0 3.0
116 -14.0 3.0
117 0 4.0
118 1.0 4.0
119 2.0 4.0
120 3.0 4.0
121 4.0 4.0
122 5.0 4.0
123 6.0 4.0
124 7.0 4.0
125 8.0 4.0
126 9.0 4.0
127 10.0 4.0
128 11.0 4.0
129 12.0 4.0
130 13.0 4.0
131 -1.0 4.0
132 -2.0 4.0
133 -3.0 4.0
134 -4.0 4.0
135 -5.0 4.0
136 -6.0 4.0
137 -7.0 4.0
138 -8.0 4.0
139 -9.0 4.0
140 -10.0 4.0
141 -11.0 4.0
142 -12.0 4.0
143 -13.0 4.0
144 0 5.0
145 1.0 5.0
146 2.0 5.0
147 3.0 5.0
148 4.0 5.0
149 5.0 5.0
150 6.0 5.0
151 7.0 5.0
152 8.0 5.0
153 9.0 5.0
154 10.0 5.0
155 11.0 5.0
156 12.0 5.0
157 13.0 5.0
158 -1.0 5.0
159 -2.0 5.0
160 -3.0 5.0
161 -4.0 5.0
162 -5.0 5.0
163 -6.0 5.0
164 -7.0 5.0
165 -8.0 5.0
166 -9.0 5.0
167 -10.0 5.0
168 -11.0 5.0
169 -12.0 5.0
170 -13.0 5.0
171 0 6.0
172 1.0 6.0
173 2.0 6.0
174 3.0 6.0
175 4.0 6.0
176 5.0 6.0
177 6.0 6.0
178 7.0 6.0
179 8.0 6.0
180 9.0 6.0
181 10.0 6.0
182 11.0 6.0
183 12.0 6.0
184 13.0 6.0
185 -1.0 6.0
186 -2.0 6.0
187 -3.0 6.0
188 -4.0 6.0
189 -5.0 6.0
190 -6.0 6.0
191 -7.0 6.0
192 -8.0 6.0
193 -9.0 6.0
194 -10.0 6.0
195 -11.0 6.0
196 -12.0 6.0
197 -13.0 6.0
198 0 7.0
199 1.0 7.0
200 2.0 7.0
201 3.0 7.0
202 4.0 7.0
203 5.0 7.0
204 6.0 7.0
205 7.0 7.0
206 8.0 7.0
207 9.0 7.0
208 10.0 7.0
209 11.0 7.0
210 12.0 7.0
211 -1.0 7.0
212 -2.0 7.0
213 -3.0 7.0
214 -4.0 7.0
215 -5.0 7.0
216 -6.0 7.0
217 -7.0 7.0
218 -8.0 7.0
219 -9.0 7.0
220 -10.0 7.0
221 -11.0 7.0
222 -12.0 7.0
223 0 8.0
224 1.0 8.0
225 2.0 8.0
226 3.0 8.0
227 4.0 8.0
228 5.0 8.0
229 6.0 8.0
230 7.0 8.0
231 8.0 8.0
232 9.0 8.0
233 10.0 8.0
234 11.0 8.0
235 12.0 8.0
236 -1.0 8.0
237 -2.0 8.0
238 -3.0 8.0
239 -4.0 8.0
240 -5.0 8.0
241 -6.0 8.0
242 -7.0 8.0
243 -8.0 8.0
244 -9.0 8.0
245 -10.0 8.0
246 -11.0 8.0
247 -12.0 8.0
248 0 9.0
249 1.0 9.0
250 2.0 9.0
251 3.0 9.0
252 4.0 9.0
253 5.0 9.0
254 6.0 9.0
255 7.0 9.0
256 8.0 9.0
257 9.0 9.0
258 10.0 9.0
259 11.0 9.0
260 -1.0 9.0
261 -2.0 9.0
262 -3.0 9.0
263 -4.0 9.0
264 -5.0 9.0
265 -6.0 9.0
266 -7.0 9.0
267 -8.0 9.0
268 -9.0 9.0
269 -10.0 9.0
270 -11.0 9.0
271 0 10.0
272 1.0 10.0
273 2.0 10.0
274 3.0 10.0
275 4.0 10.0
276 5.0 10.0
277 6.0 10.0
278 7.0 10.0
279 8.0 10.0
280 9.0 10.0
281 10.0 10.0
282 -1.0 10.0
283 -2.0 10.0
284 -3.0 10.0
285 -4.0 10.0
286 -5.0 10.0
287 -6.0 10.0
288 -7.0 10.0
289 -8.0 10.0
290 -9.0 10.0
291 -10.0 10.0
292 0 11.0
293 1.0 11.0
294 2.0 11.0
295 3.0 11.0
296 4.0 11.0
297 5.0 11.0
298 6.0 11.0
299 7.0 11.0
300 8.0 11.0
301 9.0 11.0
302 -1.0 11.0
303 -2.0 11.0
304 -3.0 11.0
305 -4.0 11.0
306 -5.0 11.0
307 -6.0 11.0
308 -7.0 11.0
309 -8.0 11.0
310 -9.0 11.0
311 0 12.0
312 1.0 12.0
313 2.0 12.0
314 3.0 12.0
315 4.0 12.0
316 5.0 12.0
317 6.0 12.0
318 7.0 12.0
319 8.0 12.0
320 -1.0 12.0
321 -2.0 12.0
322 -3.0 12.0
323 -4.0 12.0
