pixelID x y
1 0 0
2 1.0 0
3 2.0 0
4 3.0 0
5 4.0 0
6 5.0 0
7 6.0 0
8 7.0 0
9 8.0 0
10 9.0 0
11 10.0 0
12 11.0 0
13 12.0 0
14 13.0 0
15 14.0 0
16 -1.0 0
17 -2.0 0
18 -3.0 0
19 -4.0 0
20 -5.0 0
21 -6.0 0
22 -7.0 0
23 -8.0 0
24 -9.0 0
25 -10.0 0
26 -11.0 0
27 -12.0 0
28 -13.0 0
29 -14.0 0
30 0 1.0
31 1.0 1.0
32 2.0 1.0
33 3.0 1.0
34 4.0 1.0
35 5.0 1.0
36 6.0 1.0
37 7.0 1.0
38 8.0 1.0
39 9.0 1.0
40 10.0 1.0
41 11.0 1.0
42 12.0 1.0
43 13.0 1.0
44 14.0 1.0
45 -1.0 1.0
46 -2.0 1.0
47 -3.0 1.0
48 -4.0 1.0
49 -5.0 1.0
50 -6.0 1.0
51 -7.0 1.0
52 -8.0 1.0
53 -9.0 1.0
54 -10.0 1.0
55 -11.0 1.0
56 -12.0 1.0
57 -13.0 1.0
58 -14.0 1.0
59 0 2.0
60 1.0 2.0
61 2.0 2.0
62 3.0 2.0
63 4.0 2.0
64 5.0 2.0
65 6.0 2.0
66 7.0 2.0
67 8.0 2.0
68 9.0 2.0
69 10.0 2.0
70 11.0 2.0
71 12.0 2.0
72 13.0 2.0
73 14.0 2.0
74 -1.0 2.0
75 -2.0 2.0
76 -3.0 2.0
77 -4.0 2.0
78 -5.0 2.0
79 -6.0 2.0
80 -7.0 2.0
81 -8.0 2.0
82 -9.0 2.0
83 -10.0 2.0
84 -11.0 2.0
85 -12.0 2.0
86 -13.0 2.0
87 -14.0 2.0
88 0 3.0
89 1.0 3.0
90 2.0 3.0
91 3.0 3.0
92 4.0 3.0
93 5.0 3.0
94 6.0 3.0
95 7.0 3.0
96 8.0 3.0
97 9.0 3.0
98 10.0 3.0
99 11.0 3.0
100 12.0 3.0
101 13.0 3.0
102 14.0 3.0
103 -1.0 3.0
104 -2.0 3.0
105 -3.0 3.0
106 -4.0 3.0
107 -5.0 3.0
108 -6.0 3.0
109 -7.0 3.0
110 -8.0 3.0
111 -9.0 3.0
112 -10.0 3.0
113 -11.0 3.0
114 -12.0 3.0
115 -13.0 3.0
116 -14.0 3.0
117 0 4.0
118 1.0 4.0
119 2.0 4.0
120 3.0 4.0
121 4.0 4.0
122 5.0 4.0
123 6.0 4.0
124 7.0 4.0
125 8.0 4.0
126 9.0 4.0
127 10.0 4.0
128 11.0 4.0
129 12.0 4.0
130 13.0 4.0
131 14.0 4.0
132 -1.0 4.0
133 -2.0 4.0
134 -3.0 4.0
135 -4.0 4.0
136 -5.0 4.0
137 -6.0 4.0
138 -7.0 4.0
139 -8.0 4.0
140 -9.0 4.0
141 -10.0 4.0
142 -11.0 4.0
143 -12.0 4.0
144 -13.0 4.0
145 -14.0 4.0
146 0 5.0
147 1.0 5.0
148 2.0 5.0
149 3.0 5.0
150 4.0 5.0
151 5.0 5.0
152 6.0 5.0
153 7.0 5.0
154 8.0 5.0
155 9.0 5.0
156 10.0 5.0
157 11.0 5.0
158 12.0 5.0
159 13.0 5.0
160 14.0 5.0
161 -1.0 5.0
162 -2.0 5.0
163 -3.0 5.0
164 -4.0 5.0
165 -5.0 5.0
166 -6.0 5.0
167 -7.0 5.0
168 -8.0 5.0
169 -9.0 5.0
170 -10.0 5.0
171 -11.0 5.0
172 -12.0 5.0
173 -13.0 5.0
174 -14.0 5.0
175 0 6.0
176 1.0 6.0
177 2.0 6.0
178 3.0 6.0
179 4.0 6.0
180 5.0 6.0
181 6.0 6.0
182 7.0 6.0
183 8.0 6.0
184 9.0 6.0
185 10.0 6.0
186 11.0 6.0
187 12.0 6.0
188 13.0 6.0
189 -1.0 6.0
190 -2.0 6.0
191 -3.0 6.0
192 -4.0 6.0
193 -5.0 6.0
194 -6.0 6.0
195 -7.0 6.0
196 -8.0 6.0
197 -9.0 6.0
198 -10.0 6.0
199 -11.0 6.0
200 -12.0 6.0
201 -13.0 6.0
202 0 7.0
203 1.0 7.0
204 2.0 7.0
205 3.0 7.0
206 4.0 7.0
207 5.0 7.0
208 6.0 7.0
209 7.0 7.0
210 8.0 7.0
211 9.0 7.0
212 10.0 7.0
213 11.0 7.0
214 12.0 7.0
215 13.0 7.0
216 -1.0 7.0
217 -2.0 7.0
218 -3.0 7.0
219 -4.0 7.0
220 -5.0 7.0
221 -6.0 7.0
222 -7.0 7.0
223 -8.0 7.0
224 -9.0 7.0
225 -10.0 7.0
226 -11.0 7.0
227 -12.0 7.0
228 -13.0 7.0
229 0 8.0
230 1.0 8.0
231 2.0 8.0
232 3.0 8.0
233 4.0 8.0
234 5.0 8.0
235 6.0 8.0
236 7.0 8.0
237 8.0 8.0
238 9.0 8.0
239 10.0 8.0
240 11.0 8.0
241 12.0 8.0
242 -1.0 8.0
243 -2.0 8.0
244 -3.0 8.0
245 -4.0 8.0
246 -5.0 8.0
247 -6.0 8.0
248 -7.0 8.0
249 -8.0 8.0
250 -9.0 8.0
251 -10.0 8.0
252 -11.0 8.0
253 -12.0 8.0
254 0 9.0
255 1.0 9.0
256 2.0 9.0
257 3.0 9.0
258 4.0 9.0
259 5.0 9.0
260 6.0 9.0
261 7.0 9.0
262 8.0 9.0
263 9.0 9.0
264 10.0 9.0
265 11.0 9.0
266 -1.0 9.0
267 -2.0 9.0
268 -3.0 9.0
269 -4.0 9.0
270 -5.0 9.0
271 -6.0 9.0
272 -7.0 9.0
273 -8.0 9.0
274 -9.0 9.0
275 -10.0 9.0
276 -11.0 9.0
277 0 10.0
278 1.0 10.0
279 2.0 10.0
280 3.0 10.0
281 4.0 10.0
282 5.0 10.0
283 6.0 10.0
284 7.0 10.0
285 8.0 10.0
286 9.0 10.0
287 10.0 10.0
288 11.0 10.0
289 -1.0 10.0
290 -2.0 10.0
291 -3.0 10.0
292 -4.0 10.0
293 -5.0 10.0
294 -6.0 10.0
295 -7.0 10.0
296 -8.0 10.0
297 -9.0 10.0
298 -10.0 10.0
299 -11.0 10.0
300 0 11.0
301 1.0 11.0
302 2.0 11.0
303 3.0 11.0
304 4.0 11.0
305 5.0 11.0
306 6.0 11.0
307 7.0 11.0
308 8.0 11.0
309 9.0 11.0
310 10.0 11.0
311 -1.0 11.0
312 -2.0 11.0
313 -3.0 11.0
314 -4.0 11.0
315 -5.0 11.0
316 -6.0 11.0
317 -7.0 11.0
318 -8.0 11.0
319 -9.0 11.0
320 -10.0 11.0
321 0 12.0
322 1.0 12.0
323 2.0 12.0
