pixelID mppcID probability
1 1 0.000496
1 2 0.000648
1 3 0.000614
1 4 0.00055
1 5 0.000638
1 6 0.000542
1 7 0.000628
1 8 0.000562
1 9 0.000576
1 10 0.00059
1 11 0.000658
1 12 0.000566
1 13 0.000602
1 14 0.000646
1 15 0.000514
1 16 0.000562
2 1 0.000662
2 2 0.000668
2 3 0.000628
2 4 0.000698
2 5 0.000608
2 6 0.000518
2 7 0.000622
2 8 0.000604
2 9 0.000536
2 10 0.000474
2 11 0.00052
2 12 0.000562
2 13 0.00054
2 14 0.000606
2 15 0.00057
2 16 0.00056
3 1 0.000642
3 2 0.000676
3 3 0.000662
3 4 0.000634
3 5 0.000642
3 6 0.000568
3 7 0.000544
3 8 0.000532
3 9 0.00047
3 10 0.000578
3 11 0.000578
3 12 0.00054
3 13 0.000598
3 14 0.000654
3 15 0.000676
3 16 0.000688
4 1 0.000748
4 2 0.000674
4 3 0.000692
4 4 0.000584
4 5 0.000542
4 6 0.000484
4 7 0.000564
4 8 0.00047
4 9 0.000542
4 10 0.000496
4 11 0.000476
4 12 0.000494
4 13 0.00052
4 14 0.000576
4 15 0.000678
4 16 0.000748
5 1 0.000786
5 2 0.00078
5 3 0.000654
5 4 0.000604
5 5 0.000554
5 6 0.00052
5 7 0.000454
5 8 0.00048
5 9 0.000514
5 10 0.000474
5 11 0.000498
5 12 0.000516
5 13 0.000506
5 14 0.000604
5 15 0.000674
5 16 0.000768
6 1 0.000944
6 2 0.000934
6 3 0.000764
6 4 0.000586
6 5 0.000506
6 6 0.000526
6 7 0.000424
6 8 0.000464
6 9 0.0005
6 10 0.00042
6 11 0.000446
6 12 0.00049
6 13 0.000528
6 14 0.000562
6 15 0.00077
6 16 0.000902
7 1 0.001058
7 2 0.000918
7 3 0.000792
7 4 0.000606
7 5 0.000554
7 6 0.000452
7 7 0.000418
7 8 0.000474
7 9 0.000646
7 10 0.000414
7 11 0.000428
7 12 0.000432
7 13 0.000498
7 14 0.000554
7 15 0.000718
7 16 0.000902
8 1 0.00137
8 2 0.001066
8 3 0.00079
8 4 0.00054
8 5 0.000462
8 6 0.000362
8 7 0.000398
8 8 0.000426
8 9 0.00063
8 10 0.000486
8 11 0.000374
8 12 0.0004
8 13 0.00043
8 14 0.000518
8 15 0.000696
8 16 0.000978
9 1 0.001422
9 2 0.00111
9 3 0.000722
9 4 0.00055
9 5 0.00047
9 6 0.000408
9 7 0.000392
9 8 0.000574
9 9 0.000648
9 10 0.000646
9 11 0.000404
9 12 0.00039
9 13 0.000544
9 14 0.00058
9 15 0.000738
9 16 0.001134
10 1 0.001768
10 2 0.001112
10 3 0.000728
10 4 0.000512
10 5 0.000502
10 6 0.000466
10 7 0.00053
10 8 0.000688
10 9 0.000554
10 10 0.000686
10 11 0.000506
10 12 0.000488
10 13 0.000452
10 14 0.000556
10 15 0.000724
10 16 0.001118
11 1 0.002262
11 2 0.001344
11 3 0.00092
11 4 0.000708
11 5 0.000546
11 6 0.000616
11 7 0.00126
11 8 0.000724
11 9 0.000644
11 10 0.000812
11 11 0.001344
11 12 0.000684
11 13 0.000536
11 14 0.00069
11 15 0.000884
11 16 0.001422
12 1 0.003006
12 2 0.00174
12 3 0.001214
12 4 0.000952
12 5 0.000878
12 6 0.001324
12 7 0.00139
12 8 0.001234
12 9 0.000832
12 10 0.001244
12 11 0.001504
12 12 0.001382
12 13 0.000862
12 14 0.001034
12 15 0.00114
12 16 0.001712
13 1 0.004436
13 2 0.001882
13 3 0.001288
13 4 0.0012
13 5 0.001338
13 6 0.00204
13 7 0.001342
13 8 0.001454
13 9 0.001872
13 10 0.001622
13 11 0.001266
13 12 0.002094
13 13 0.001282
13 14 0.001252
13 15 0.001284
13 16 0.0019
14 1 0.006522
14 2 0.001894
14 3 0.001638
14 4 0.001494
14 5 0.002442
14 6 0.001918
14 7 0.001796
14 8 0.002174
14 9 0.002038
14 10 0.002074
14 11 0.001824
14 12 0.001838
14 13 0.002424
14 14 0.001526
14 15 0.001606
14 16 0.002016
15 1 0.014396
15 2 0.001882
15 3 0.001756
15 4 0.002622
15 5 0.002436
