x y n
6.9252 1.8078 50000
-4.27845 13.4413 50000
1.39385 8.17084 50000
-2.84267 4.96082 50000
0.351238 13.2055 50000
0.916735 -4.33901 50000
-1.33895 -3.62259 50000
-1.62888 1.9232 50000
-3.71792 12.8096 50000
-9.93048 7.13471 50000
-7.51054 -3.1849 50000
2.35867 -7.72367 50000
-5.27379 5.71789 50000
8.69828 8.70266 50000
-4.43187 12.4717 50000
6.79497 -5.32403 50000
-2.90295 5.77299 50000
-2.40254 -8.21531 50000
10.4345 -9.0969 50000
2.91947 -8.59685 50000
8.07626 0.848125 50000
7.10492 4.3973 50000
5.00146 1.38973 50000
0.864972 8.45422 50000
-10.3499 -4.22893 50000
-5.11646 4.4097 50000
-3.08822 -0.353336 50000
-7.14316 7.83068 50000
6.87374 -3.958 50000
-1.36992 8.65764 50000
4.19855 -4.68358 50000
12.4314 -0.418019 50000
0.765365 -8.44203 50000
9.59208 2.82797 50000
7.20754 -7.23161 50000
-8.58363 0.694044 50000
6.90728 -10.5058 50000
-0.362032 -13.1594 50000
-12.5185 -1.94634 50000
9.88252 -6.05424 50000
-6.2178 4.78911 50000
-9.66096 -9.33293 50000
-3.19279 7.00666 50000
-0.087799 10.5856 50000
-0.494504 0.0207716 50000
-6.13655 10.2429 50000
-4.56255 1.92511 50000
1.48855 1.01313 50000
12.1612 -2.20583 50000
-3.36105 12.2409 50000
11.9345 1.16109 50000
-5.10158 -5.16875 50000
-2.17829 -4.29245 50000
8.16931 -0.17797 50000
-9.35373 -8.36231 50000
13.2348 1.56812 50000
5.22143 -4.08814 50000
0.0300988 13.0681 50000
9.30823 -3.10085 50000
-1.95856 -9.84579 50000
-6.29484 -4.85491 50000
-10.0898 0.124772 50000
7.03998 -4.97392 50000
10.0724 5.49219 50000
-2.36769 -5.55594 50000
-3.24924 -12.5746 50000
11.4187 -3.39943 50000
-10.7893 2.93027 50000
4.14888 0.343068 50000
2.80568 12.3144 50000
4.99567 13.1329 50000
-9.16376 1.62589 50000
-5.8671 -6.14867 50000
-10.0542 2.56772 50000
-3.0311 -3.83696 50000
-0.99074 -7.59375 50000
7.99129 -6.74648 50000
9.55868 -1.95883 50000
8.76202 -10.2431 50000
0.325582 -8.45411 50000
-5.57393 -3.49166 50000
5.05886 13.3868 50000
1.03772 -6.45246 50000
-3.40181 5.35757 50000
0.576309 -2.72729 50000
-0.660055 -4.69587 50000
-9.81732 -5.34885 50000
-6.123 11.7974 50000
-5.3524 6.89267 50000
1.09354 11.4092 50000
11.6833 -8.50778 50000
-9.50374 6.74789 50000
-2.99026 7.04787 50000
0.0631123 2.91043 50000
-0.214009 -1.23955 50000
4.3909 11.5062 50000
5.41934 7.02109 50000
-0.577075 -7.09041 50000
1.282 -5.00715 50000
2.53798 -4.10257 50000
4.28193 -5.67273 50000
-5.58208 1.78075 50000
2.52308 -12.987 50000
-0.447402 -11.4393 50000
-6.68733 -4.54611 50000
-12.0693 -2.39817 50000
-4.76831 12.5737 50000
11.4776 0.884261 50000
8.50521 -3.87465 50000
-4.79234 -9.72286 50000
3.17314 3.45412 50000
-8.428 5.05318 50000
-10.1155 -1.38358 50000
10.0448 -6.51318 50000
-3.67814 3.6039 50000
-11.9279 0.70729 50000
-2.15382 -1.4558 50000
-3.95124 -4.85747 50000
-9.88065 4.8876 50000
-4.27249 10.5626 50000
-6.22397 2.17798 50000
2.52585 4.41566 50000
-4.0567 0.0542966 50000
9.9821 9.3751 50000
11.7014 1.19928 50000
-3.9857 0.498605 50000
-6.95957 0.2716 50000
-12.495 5.57314 50000
-11.7588 2.19188 50000
-8.31142 6.43595 50000
0.746859 9.05148 50000
-5.44212 7.93807 50000
-5.9714 9.57203 50000
4.18908 9.65155 50000
-2.72306 0.549889 50000
10.3173 3.75057 50000
5.44042 -11.2545 50000
3.95378 7.62599 50000
-9.95076 8.05467 50000
-5.30478 -0.241296 50000
-8.48331 3.32065 50000
4.67586 -12.1236 50000
2.10279 8.80533 50000
-8.38098 6.26868 50000
5.55162 -5.62705 50000
10.7485 7.24356 50000
8.26027 -3.50445 50000
0.954432 8.52694 50000
8.54514 -9.17019 50000
-0.727538 -6.57736 50000
2.67777 3.9105 50000
-2.02454 -9.42355 50000
-5.70687 -2.77538 50000
6.73745 -11.1145 50000
5.11327 -4.05572 50000
1.29685 -2.79988 50000
3.51677 2.82762 50000
-11.7495 0.814591 50000
10.2283 -2.18 50000
-9.72826 -7.84466 50000
2.51007 6.36813 50000
-11.9669 7.32253 50000
-2.6133 -0.646767 50000
3.61571 5.64148 50000
5.93429 -4.95028 50000
-3.83463 -8.98458 50000
-8.77682 -6.71176 50000
-10.3606 6.01594 50000
0.108801 -11.2311 50000
-3.98181 -2.73616 50000
-12.6903 -4.75371 50000
-10.208 -2.99089 50000
-7.52613 10.0385 50000
-4.03412 7.62551 50000
-0.0824716 -1.88137 50000
-11.9498 6.42622 50000
-2.10227 -10.8025 50000
-1.94509 4.89425 50000
-3.05552 9.43257 50000
5.6542 -4.02063 50000
6.9309 -6.64313 50000
3.90685 -8.6543 50000
-6.10597 -3.4905 50000
2.15295 -1.13535 50000
10.2018 -8.57149 50000
-4.81323 -5.21672 50000
10.1171 -1.33856 50000
-8.49409 0.818676 50000
6.27049 5.73566 50000
11.7655 -8.39421 50000
-13.3339 1.24788 50000
-0.781286 9.6551 50000
2.42503 -12.5237 50000
-8.4124 -10.5595 50000
5.00706 5.02412 50000
-8.36614 -10.2409 50000
5.73762 -3.87707 50000
-6.26187 10.0258 50000
9.12065 -2.02871 50000
-8.45829 3.50867 50000
-10.503 -2.55183 50000
0.709988 -3.83784 50000
-8.16973 9.65149 50000
-8.22189 8.63085 50000
3.28712 -11.0124 50000
-6.87485 6.29339 50000
-3.80151 2.22403 50000
2.80151 -1.04699 50000
8.85102 1.3558 50000
0.336928 0.654559 50000
-0.558362 -10.8109 50000
10.9544 3.94681 50000
-1.14108 -5.05192 50000
13.4269 2.18585 50000
-8.06483 -8.81124 50000
11.3576 5.03564 50000
2.20048 -12.5746 50000
7.16534 5.82219 50000
4.6699 9.37652 50000
9.55665 7.8974 50000
6.6952 10.2356 50000
2.7649 -12.331 50000
2.41217 -10.1258 50000
8.33861 9.4528 50000
5.81504 -9.61747 50000
5.75971 -8.19686 50000
2.98898 0.854101 50000
4.67319 -11.5214 50000
1.53209 6.82104 50000
8.00923 -2.3016 50000
-9.30186 1.24588 50000
-3.22073 0.845998 50000
-9.70881 3.47625 50000
-0.172898 0.276532 50000
1.84346 11.0687 50000
1.31628 1.38373 50000
-7.76487 5.58295 50000
4.3949 8.38838 50000
-0.299396 13.3665 50000
