pixelID x y
1 0 0
2 0.2 0
3 0.4 0
4 0.6 0
5 0.8 0
6 1.0 0
7 1.2 0
8 1.4 0
9 1.6 0
10 1.8 0
11 2.0 0
12 2.2 0
13 2.4 0
14 2.6 0
15 2.8 0
16 3.0 0
17 3.2 0
18 3.4 0
19 3.6 0
20 3.8 0
21 4.0 0
22 4.2 0
23 4.4 0
24 4.6 0
25 4.8 0
26 5.0 0
27 5.2 0
28 5.4 0
29 5.6 0
30 5.8 0
31 6.0 0
32 6.2 0
33 6.4 0
34 6.6 0
35 6.8 0
36 7.0 0
37 7.2 0
38 7.4 0
39 7.6 0
40 7.8 0
41 8.0 0
42 8.2 0
43 8.4 0
44 8.6 0
45 8.8 0
46 9.0 0
47 9.2 0
48 9.4 0
49 9.6 0
50 9.8 0
51 10.0 0
52 10.2 0
53 10.4 0
54 10.6 0
55 10.8 0
56 11.0 0
57 11.2 0
58 11.4 0
59 11.6 0
60 11.8 0
61 12.0 0
62 12.2 0
63 12.4 0
64 12.6 0
65 12.8 0
66 13.0 0
67 13.2 0
68 13.4 0
69 13.6 0
70 13.8 0
71 14.0 0
72 14.2 0
73 14.4 0
74 -0.2 0
75 -0.4 0
76 -0.6 0
77 -0.8 0
78 -1.0 0
79 -1.2 0
80 -1.4 0
81 -1.6 0
82 -1.8 0
83 -2.0 0
84 -2.2 0
85 -2.4 0
86 -2.6 0
87 -2.8 0
88 -3.0 0
89 -3.2 0
90 -3.4 0
91 -3.6 0
92 -3.8 0
93 -4.0 0
94 -4.2 0
95 -4.4 0
96 -4.6 0
97 -4.8 0
98 -5.0 0
99 -5.2 0
100 -5.4 0
101 -5.6 0
102 -5.8 0
103 -6.0 0
104 -6.2 0
105 -6.4 0
106 -6.6 0
107 -6.8 0
108 -7.0 0
109 -7.2 0
110 -7.4 0
111 -7.6 0
112 -7.8 0
113 -8.0 0
114 -8.2 0
115 -8.4 0
116 -8.6 0
117 -8.8 0
118 -9.0 0
119 -9.2 0
120 -9.4 0
121 -9.6 0
122 -9.8 0
123 -10.0 0
124 -10.2 0
125 -10.4 0
126 -10.6 0
127 -10.8 0
128 -11.0 0
129 -11.2 0
130 -11.4 0
131 -11.6 0
132 -11.8 0
133 -12.0 0
134 -12.2 0
135 -12.4 0
136 -12.6 0
137 -12.8 0
138 -13.0 0
139 -13.2 0
140 -13.4 0
141 -13.6 0
142 -13.8 0
143 -14.0 0
144 -14.2 0
145 -14.4 0
146 0 0.2
147 0.2 0.2
148 0.4 0.2
149 0.6 0.2
150 0.8 0.2
151 1.0 0.2
152 1.2 0.2
153 1.4 0.2
154 1.6 0.2
155 1.8 0.2
156 2.0 0.2
157 2.2 0.2
158 2.4 0.2
159 2.6 0.2
160 2.8 0.2
161 3.0 0.2
162 3.2 0.2
163 3.4 0.2
164 3.6 0.2
165 3.8 0.2
166 4.0 0.2
167 4.2 0.2
168 4.4 0.2
169 4.6 0.2
170 4.8 0.2
171 5.0 0.2
172 5.2 0.2
173 5.4 0.2
174 5.6 0.2
175 5.8 0.2
176 6.0 0.2
177 6.2 0.2
178 6.4 0.2
179 6.6 0.2
180 6.8 0.2
181 7.0 0.2
182 7.2 0.2
183 7.4 0.2
184 7.6 0.2
185 7.8 0.2
186 8.0 0.2
187 8.2 0.2
188 8.4 0.2
189 8.6 0.2
190 8.8 0.2
191 9.0 0.2
192 9.2 0.2
193 9.4 0.2
194 9.6 0.2
195 9.8 0.2
196 10.0 0.2
197 10.2 0.2
198 10.4 0.2
199 10.6 0.2
200 10.8 0.2
201 11.0 0.2
202 11.2 0.2
203 11.4 0.2
204 11.6 0.2
205 11.8 0.2
206 12.0 0.2
207 12.2 0.2
208 12.4 0.2
209 12.6 0.2
210 12.8 0.2
211 13.0 0.2
212 13.2 0.2
213 13.4 0.2
214 13.6 0.2
215 13.8 0.2
216 14.0 0.2
217 14.2 0.2
218 14.4 0.2
219 -0.2 0.2
220 -0.4 0.2
221 -0.6 0.2
222 -0.8 0.2
223 -1.0 0.2
224 -1.2 0.2
225 -1.4 0.2
226 -1.6 0.2
227 -1.8 0.2
228 -2.0 0.2
229 -2.2 0.2
230 -2.4 0.2
231 -2.6 0.2
232 -2.8 0.2
233 -3.0 0.2
234 -3.2 0.2
235 -3.4 0.2
236 -3.6 0.2
237 -3.8 0.2
238 -4.0 0.2
239 -4.2 0.2
240 -4.4 0.2
241 -4.6 0.2
242 -4.8 0.2
243 -5.0 0.2
244 -5.2 0.2
245 -5.4 0.2
246 -5.6 0.2
247 -5.8 0.2
248 -6.0 0.2
249 -6.2 0.2
250 -6.4 0.2
251 -6.6 0.2
252 -6.8 0.2
253 -7.0 0.2
254 -7.2 0.2
255 -7.4 0.2
256 -7.6 0.2
257 -7.8 0.2
258 -8.0 0.2
259 -8.2 0.2
260 -8.4 0.2
261 -8.6 0.2
262 -8.8 0.2
263 -9.0 0.2
264 -9.2 0.2
265 -9.4 0.2
266 -9.6 0.2
267 -9.8 0.2
268 -10.0 0.2
269 -10.2 0.2
270 -10.4 0.2
271 -10.6 0.2
272 -10.8 0.2
273 -11.0 0.2
274 -11.2 0.2
275 -11.4 0.2
276 -11.6 0.2
277 -11.8 0.2
278 -12.0 0.2
279 -12.2 0.2
280 -12.4 0.2
281 -12.6 0.2
282 -12.8 0.2
283 -13.0 0.2
284 -13.2 0.2
285 -13.4 0.2
286 -13.6 0.2
287 -13.8 0.2
288 -14.0 0.2
289 -14.2 0.2
290 -14.4 0.2
291 0 0.4
292 0.2 0.4
293 0.4 0.4
294 0.6 0.4
295 0.8 0.4
296 1.0 0.4
297 1.2 0.4
298 1.4 0.4
299 1.6 0.4
300 1.8 0.4
301 2.0 0.4
302 2.2 0.4
303 2.4 0.4
304 2.6 0.4
305 2.8 0.4
306 3.0 0.4
307 3.2 0.4
308 3.4 0.4
309 3.6 0.4
310 3.8 0.4
311 4.0 0.4
312 4.2 0.4
313 4.4 0.4
314 4.6 0.4
315 4.8 0.4
316 5.0 0.4
317 5.2 0.4
318 5.4 0.4
319 5.6 0.4
320 5.8 0.4
321 6.0 0.4
322 6.2 0.4
323 6.4 0.4
324 6.6 0.4
325 6.8 0.4
326 7.0 0.4
